,precision,recall,f1-score,support
0,0.9214409722222222,0.9835989621942179,0.9515059160989602,10792.0
1,0.8611764705882353,0.5481777333999002,0.6699206833435022,2003.0
accuracy,0.9154357170769832,0.9154357170769832,0.9154357170769832,0.9154357170769832
macro avg,0.8913087214052288,0.765888347797059,0.8107132997212312,12795.0
weighted avg,0.9120068341391527,0.9154357170769832,0.907425007837203,12795.0
