,precision,recall,f1-score,support
0.0,0.9786521557136877,0.9965899403239556,0.9875395987328406,2346.0
1.0,0.9605911330049262,0.7926829268292683,0.8685968819599109,246.0
accuracy,0.9772376543209876,0.9772376543209876,0.9772376543209876,0.9772376543209876
macro avg,0.9696216443593069,0.8946364335766119,0.9280682403463758,2592.0
weighted avg,0.9769380308732728,0.9772376543209876,0.9762510538539283,2592.0
